question,choice1,choice2,choice3,choice4,correctIndex
日本の首都はどこ？,大阪,東京,名古屋,札幌,1
C#で文字列を扱う型は？,int,string,bool,char,1
Unityでシーン切り替えに使うメソッドは？,LoadScene,ChangeScene,OpenScene,StartScene,0
IPアドレスの形式は？,8進数,16進数,10進数,2進数,2
コンピュータの最小単位は？,Byte,Bit,KB,MB,1
CPUの役割は？,保存,計算,表示,通信,1
花の日に送る花は？,バラ,タンポポ,ユリ,カーネーション,3
Gitで使われるPRの正式名称は？,プッシュリクエスト,パブリックリレーションズ,プルリクエスト,プラプラプルプル,2
Gitのブランチは意味は？,枝,朝食兼昼食,ぶらぶら走る,福を待つ,0
埼玉県の県庁所在地はどこ？,さいたま市,川越市,所沢市,熊谷市,0
日本で一番高い建物はどれ？,あべのハルカス,麻布台ヒルズ森JPタワー,東京スカイツリー,横浜ランドマークタワー,2
日本歴代映画興行収入ランキングで１位はどれ？,千と千尋の神隠し,鬼滅の刃,アナと雪の女王,ちいかわ,1
富士山の次に高い山は？,奥穂高岳,槍ヶ岳,北岳,間ノ岳,2
埼玉県の一番人気の名産は？,十万石まんじゅう,草加せんべい,いも恋,やわらか,0
日本で一番売れたゲームは？,マリオカート8 デラックス,あつまれ どうぶつの森,スーパーマリオブラザーズ,スプラトゥーン3,1
